Palabra,Descripción,Categoría,Sinónimos,Antónimos
AMARILLO,"De color semejante al del oro, el limón, la flor de retama, etcétera.",adj.,Amarillo.,
AMASAR,"Verbo pleno Sobar la masa preparada con harina, agua o leche y otros ingredientes como aceite, manteca o margarina.",v. tr.,"Amasar, sobar.",
AMBULANCIA,"Vehículo destinado al transporte de heridos, enfermos y elementos de curación.",sust. f.,Ambulancia.,
AMENAZAR,Verbo pleno Dar a entender con acto o palabra que se quiere hacer algún mal a otro.,v. tr.,"Amenazar, desafiar, provocar.",
AMÉRICA,"Continente ubicado entre los océanos Pacífico y Atlántico. Se divide en América del Norte, del Centro y del Sur.",sust. p.,América.,
AMÉRICA-CENTRAL,Parte del continente americano que se ubica entre América del Norte y América del Sur.,sust. p.,"América Central, América del Centro, Centroamérica.",
AMÉRICA-DEL-NORTE,"Parte del continente americano que se ubica al norte de América Central, cuyos principales países son Estados Unidos, Canadá y México.",sust. p.,"América del Norte, Norteamérica.",
AMÉRICA-DEL-SUR,"Parte del continente americano que se ubica al sur de América Central. Algunos de sus países son Chile, Brasil, Argentina, Perú y Bolivia.",sust. p.,"América del Sur, Sudamérica.",
AMIGO/A,"Persona que tiene afecto personal y desinteresado, hacia otra persona, es recíproco y se fortalece con el trato.",sust. m. y f.,"Amigo, camarada, compañero.","Enemigo, rival."
AMOR,Sentimiento de cariño hacia otra persona o personas.,sust. m.,"Amor, cariño, pasión, afecto, ternura.","Odio, rechazo, animadversión."
AMPOLLETA,Bombilla eléctrica que se usa para iluminar.,sust. f.,"Ampolleta, bombilla.",
ANÁLISIS,Separación de las partes de un todo para estudiarlo.,sust. m.,Análisis.,
ANGUSTIADO/A,Persona que tiene un sentimiento de congoja y ansiedad.,adj.,"Angustiado, acongojado, afligido.",
ANILLO,"Aro de metal u otra materia, que se lleva principalmente por adorno, en los dedos de la mano.",sust. m.,"Anillo, argolla, aro, sortija.",
ANIMAL,Ser vivo que siente y se mueve por propio impulso.,sust. m.,"Animal, bestia, fiera.",
ANOTAR,"Verbo pleno Poner en un escrito, cuenta o libro una nota, señal, marca o comentario.",v. tr.,"Anotar, apuntar, registrar, escribir, asentar, consignar.",
ANTEAYER,El día inmediatamente anterior al de ayer.,adv.,Anteayer.,
ANTEOJOS,Cristales con marcos que se usan para corregir la visión.,sust. m.,"Anteojos, lentes, gafas.",
ANTES,Indica tiempo pasado.,adv.,"Antes, anteriormente.","Después, posteriormente."
ANTIGUO/A,Que existió hace mucho tiempo.,adj.,"Antiguo, vetusto, prehistórico, viejo.","Actual, moderno, presente."
ANTOFAGASTA,"Ciudad capital de la II Región, en el Norte Grande de Chile. Destacado puerto exportador de cobre del yacimiento de Chuquicamata. Se caracteriza por su famosa Portada, que es una roca en el mar.",sust. p.,Antofagasta.,
ANULAR,Verbo pleno Dar por nula o dejar sin efecto una disposición.,v. tr.,"Anular, abolir, revocar, cancelar, suprimir.","Validar, aprobar."
AÑO,Período de doce meses a contar desde el día primero de enero hasta el treinta y uno de diciembre.,sust. m.,Año.,
APAGAR-LUZ,verbo pleno Extinguir la luz.,v. tr.,"Apagar, oscurecer.","Encender, iluminar, alumbrar."
APELLIDO,Nombre de familia con que se distinguen las personas.,sust. m.,Apellido.,
APLAUDIR,Verbo pleno Palmotear en señal de aprobación o entusiasmo. Seña utilizada mayormente por oyentes.,v. intr.,"Aplaudir, palmotear, celebrar.","Abuchear, pifiar."
APOSTAR,Verbo pleno Dinero que se arriesga esperando acertar al resultado de una competencia o juego.,v. tr.,"Apostar, jugar, arriesgar.",
APOYAR,"Verbo pleno Favorecer, ayudar a una persona.",v. tr.,"Apoyar, ayudar.",
APRENDER,Verbo pleno Adquirir conocimiento de alguna cosa por medio del estudio o de la experiencia.,v. tr.,"Aprender, estudiar, educarse.","Olvidar, ignorar, desconocer."
APROBAR,Verbo pleno Dar por bueno algo o a alguien.,v. tr.,"Aprobar, aceptar.","Desaprobar, rechazar."
APROVECHAR,"Verbo pleno Emplear útilmente alguna cosa o situación, hacerla provechosa o sacarle el máximo rendimiento.",v. tr.,"Aprovechar, utilizar, explotar.","Desechar, desperdiciar, desaprovechar."
APURADO/A,Con rapidez.,adj.,"Apurado, apresurado.","Lento, retardado."
ARABIA,"País ubicado al sudeste del continente asiático. Limita con Irak, Jordania, Yemen, Omán, Emiratos Árabes y Katar.",sust. p.,Arabia.,
ARADO,Instrumento de agricultura que sirve para abrir surcos en la tierra.,sust. m.,Arado.,
ARAÑA,"Arácnido de ocho patas con un par de uñas venenosas en la boca, que teje una tela con la que hace su vivienda y caza sus presas.",sust. f.,Araña.,
ÁRBITRO,"Persona que en competencias deportivas como el fútbol, controla la aplicación del reglamento.",sust. m.,"Árbitro, juez, mediador.",
ÁRBOL,"Planta de tronco leñoso, alto y con ramas cubiertas de hojas.",sust. m.,Árbol.,
ARCOIRIS,"Arco de siete colores que se forma por el sol después de la lluvia, en el aire o en las nubes.",sust. m.,Arcoiris.,
ARDILLA,Mamífero roedor de unos 20 centímetros de largo. Se cría en los bosques y es muy inquieto.,sust. f.,Ardilla.,
ARENA,"Conjunto de pequeñas partículas de roca, acumuladas en la orilla del mar o los ríos.",sust. f.,"Arena, polvillo, arenisca.",
ARGENTINA,"País de América del Sur, limita con Chile, Brasil, Bolivia, Paraguay y Uruguay. Su capital es Buenos Aires.",sust. p.,Argentina,
ARICA,"Ciudad de la Primera Región de Tarapacá, en Chile. Se ubica a orillas del océano Pacífico. Posee puerto y aeropuerto internacional.",sust. p.,Arica.,
ARIES,Primer signo del zodíaco.,sust. m.,Aries.,
ARQUERO,"Jugador que defiende el arco o la meta de su equipo, en juegos deportivos.",sust. m.,"Arquero, portero.",
